organizationName,organizationNames,description,location,startsOn,endsOn,categoryNames
Pre-Professional Medical Society ,[],<p>Enjoy delicious food in a fun atmosphere along with your family and friends while raising funds in support of the Pre-Professional Medical Society and our philanthropy: Relay for Life.</p>,BJ's Restaurant & Brewhouse,2025-10-09 22:30:00+00:00,2025-10-10 02:00:00+00:00,[]
Antioch Orlando College Ministry,[],"<p>Come join our College ministry as we gather to worship, pray, and hear a word from our pastor!</p>
<p>DM our instagram for any questions</p>
<p>@antiochorlandocollege</p>",Pursuit Church,2025-10-09 23:30:00+00:00,2025-10-10 02:00:00+00:00,[]
Campus Activities Board,[],"<p>CAB presents: Trick or Beat 🎃</p>
<p>Get ready for a night of loud music and spooky vibes under the trees of the UCF Arboretum! Lineup features some of the heaviest hitters in our local music scene: @adlband.fl @catnap_band @_urbansprawl_ @foxlair.band</p>
<p>KNOW BEFORE YOU GO: This is a student-driven DIY show, so please respect the Arboretum and each other! Bring the Halloween spirit and don&rsquo;t miss the chance to rock out this spooky season with live music and community! 🎸👻</p>
<p>📆: Thursday, October 9th at 6:30 p.m.</p>
<p>📍: UCF Arboretum</p>
<p>&nbsp;</p>",UCF Arboretum,2025-10-09 22:30:00+00:00,2025-10-10 02:30:00+00:00,[]
National Student Speech Language Hearing Association (NSSLHA) - Orlando,[],"<p>We are excited to have you attend the in-person UCF CSD clinic tour!&nbsp;</p>
<p><strong>When: </strong>Friday, October 10th, 2025, 11am-12pm</p>
<p><strong>Where:</strong>&nbsp;3280 Progress Dr #500, Orlando, FL 32826</p>
<p><strong>RSVP</strong>: Please RSVP on Knight Connect</p>
<p><strong>Attire:</strong>&nbsp;Appropriate attire</p>
<p><strong>Credit:</strong>&nbsp;1 hour</p>
<p><strong>Bonus:</strong>&nbsp;Show your NSSLHA Spirit! Wear your 2025 - 2026 NSSLHA gear (shirt, show your sticker, etc...) to be awarded an additional hour, or past NSSLHA gear for an additional 30 minutes</p>
<p><strong>Attendance Form:&nbsp;</strong>Please fill out&nbsp;this link&nbsp;no later than 24 hours after the event to receive credit!</p>
<p><em>In order to receive credit, you must RSVP on KnightConnect, and complete the attendance form. Please do so within 24 hours of the event to ensure an accurate record of your hours! Please be sure to update your RSVP status if you can no longer attend the event or you will be deducted the number of hours you would have gained at the event*</em></p>
<p><strong>Corresponding Officer:</strong>&nbsp;Karilyn Brudzinski,&nbsp;<a href=""mailto:graduate.ucfnsslha@gmail.com"">graduate.ucfnsslha@gmail.com</a></p>",UCF Communication Disorders Clinic,2025-10-10 15:00:00+00:00,2025-10-10 16:00:00+00:00,[]
We In Animation at UCF,[],"<p>Everyone&nbsp;attending <strong>Lightbox Expo 2025</strong>, whether it's through SG funding or not, is encouraged to attend our <strong>Virtual Info Session THIS FRIDAY </strong>at<strong> 1PM!&nbsp;</strong></p>
<p>With guest speakers Professor Ananya and Professor Cabrera talking about their past experiences and sharing tips and tricks!&nbsp;</p>
<p>The zoom link will be posted on the day of the event on our Discord! (https://discord.gg/zePjJQx8)&nbsp;</p>",Online,2025-10-10 17:00:00+00:00,2025-10-10 20:00:00+00:00,[]
Art Club,"['Japanese Culture Club', 'Art Club']","<p>Join us Friday (10/10) in the Teaching Academy (Room 322) to learn about the art of Doujinshi culture! We will be having an awesome lesson on the culture and what it's about as well as a comic activity led by the <strong>Japanese Culture Club 🌸</strong>!&nbsp;</p>
<p>We have limited supplies so be sure to RSVP and feel free to bring your own as per usual!&nbsp;</p>
<p>We hope to see you there&nbsp;🌸&nbsp;🌸&nbsp;🌸&nbsp;</p>",Teaching Academy Room 322,2025-10-10 21:00:00+00:00,2025-10-10 22:15:00+00:00,[]
Amateur Radio Club at UCF,[],"<p>Interested in radio? Interested in antennas? Have too much time on your hands, or can't afford to buy an expensive antenna? Or maybe you just want to stop by and talk about something vaguely radio-related. Well, do we have an event for you!<br /><br />We have a handful of VHF antenna designs to help get you started, several knowledgeable people, and a bunch of supplies. We've also got more larger projects than you can shake an antenna at! From SDRs, to Meshtastic, to Sat-comms, and more, If you have any interest at all in anything to do with radio, we probably have a project relating to it and folks who can help.<br /><br />For an eternally incomplete list of projects, see the front page of our wiki:<br />http://newton.i2lab.ucf.edu/wiki/ARCatUCF<br />Don't know what half of that stuff is? We're more than happy to teach you all we can about it!<br /><br />https://discord.gg/bGkTTTrNdP<br />(If there's a particular project you want to do, make sure to let us know prior at any of our meetings or on discord.)</p>",BA1 115,2025-10-10 21:30:00+00:00,2025-10-10 22:30:00+00:00,[]
Best Buddies ,[],"<p><span style=""font-weight: 400;"">It&rsquo;s official! Best Buddies matches will be announced at this event, and we will have some fun activities for you to bond even more with your new buddy, including tie dying (matching) shirts and picture frame decorating! You can bring your own shirt to tie-dye, or we will have options for white Best Buddies shirts. If you pre-ordered a shirt, you will receive it at this event. Even if you aren&rsquo;t signed up to be a peer buddy, you are more than welcome to attend and enjoy the activities!</span></p>",Memory Mall,2025-10-10 21:30:00+00:00,2025-10-10 22:30:00+00:00,[]
American Chemical Society,"['American Chemical Society', 'Society of Physics Students']","<p class=""p1"">During this collaboration between the American Chemical Society and the Society of Physics Students, we will be hosting a fun evening of activities to bring our members together. The goal of this event is not only to enjoy some lighthearted competition, but also to build camaraderie, strengthen relationships, and create a fun, relaxed atmosphere for both clubs.</p>",Jay Blanchard Park,2025-10-10 21:00:00+00:00,2025-10-10 23:00:00+00:00,[]
ForgetYouNot@UCF,[],"<p>Join us for ForgetYouNot&rsquo;s Third Fall GBM!✨</p>
<p>&nbsp;</p>
<p>This week, we&rsquo;re focusing on how to effectively care for memory loss patients &mdash; from understanding their needs to building empathy and communication skills.&nbsp;Come be part of the conversation and help spread awareness for those who need it most!🫶🫶</p>
<p>&nbsp;</p>
<p>📅 Date: October 10th, 2025</p>
<p>📍 Location: CB1-119<br />🕒 Time: 6 pm - 7 pm</p>",CB1-119,2025-10-10 22:00:00+00:00,2025-10-10 23:00:00+00:00,[]
DermaGlow,[],"<p class=""p1"">Join us for a fun and impactful fundraising event hosted by DermaGlow! All proceeds will directly support future events and educational activities for our members.</p>
<p class=""p1"">When you <strong>purchase any dessert item</strong>, you'll automatically be entered into a <strong>raffle to win a special prize</strong>! Plus, if you <strong>bring a friend</strong>, you'll receive an <strong>extra raffle ticket</strong> &mdash; increasing your chances to win!</p>
<p class=""p1"">Don&rsquo;t forget to <strong>show that you&rsquo;re added on KnightConnect</strong> so your contribution counts toward our official fundraising goal. We appreciate your support and can&rsquo;t wait to see you there!</p>",WaffleHead ,2025-10-10 21:30:00+00:00,2025-10-10 23:30:00+00:00,[]
WISE Women in Hospitality,[],"<p>Our October lineup is here.&nbsp;</p>
<ul>
<li><strong>October 10</strong>&nbsp;Birdies &amp; Besties TopGolf @ 6pm.</li>
<li><strong>October 13&nbsp;</strong>Professional Development Meeting @6pm.</li>
<li><strong>October 20</strong>&nbsp;The Pumpkin Social @5:30pm.</li>
<li><strong>October 27&nbsp;</strong>Professional Development Meeting @4:45pm.&nbsp;</li>
</ul>
<div>Join us for a month full of events you won't want to miss!</div>",TopGolf Orlando,2025-10-10 22:00:00+00:00,2025-10-10 23:30:00+00:00,[]
Association of Pre-Nursing Students,[],"<p data-start=""85"" data-end=""256"">It&rsquo;s almost TEAS time, so join us at 6:30, we will be putting our studying to the test with a Jeopardy-style review game&nbsp;📝✨</p>
<p data-start=""85"" data-end=""256"">&nbsp;</p>
<p data-start=""258"" data-end=""299"">&nbsp;</p>",NSC 0113,2025-10-10 22:30:00+00:00,2025-10-10 23:30:00+00:00,[]
Color Me Queer,[],"<p>It&rsquo;s officially spooky season, CMQties! 👻<br />In the mood for chill vibes and thrilling movies? We&rsquo;ve got the perfect event for you! Join Color Me Queer for our Chill &amp; Thrill Movie Nights! ❤️🖤🤍<br /><br />Dates &amp; Themes<br />🧙&zwj;♀️Friday, October 10th &ndash; Witch Night<br />✨ Friday, October 24th &ndash; Nostalgia Night<br />🔪 Thursday, October 30th &ndash; Slasher Night<br /><br />⏱️ 6 PM &ndash; 9 PM<br />📍 Pride Commons<br /><br />🎟️ Entry Fee: $5 per movie night<br />💖 Member Discount: $3<br /><br />At the start of each Chill &amp; Thrill week, we&rsquo;ll post a poll on our story so you can vote for the movie we watch!<br /><br />And&hellip; did somebody say raffle? 👀<br />For every movie night you attend, you&rsquo;ll get an entry to win a $25 Amazon Gift Card! The more nights you join us, the better your chances of winning. You don&rsquo;t want to miss out! ✨</p>",Pride Commons,2025-10-10 22:00:00+00:00,2025-10-11 01:00:00+00:00,[]
Baptist Collegiate Ministries,[],<p>Come join us for a fun time of volleyball! We can't wait to see you there!</p>,Lake Claire Recreational Area,2025-10-10 23:00:00+00:00,2025-10-11 02:00:00+00:00,[]
Association of Environmental Professionals at the University of Central Florida,"['Association of Environmental Professionals at the University of Central Florida', 'Marine Biology Education and Awareness Club']","<p>We will be meeting at the Orlando Wetlands at 8:00 am to embark on guided tours of the Orlando Wetlands. The tour guides will provide information on bioremediation, conservation, land management, and wastewater treatment that occurs at the park. Multiple trams of tours will run at a time and there will also be a networking opportunity after the tour, or if there are not enough trams, during the tour.</p>",Orlando Wetlands,2025-10-11 12:00:00+00:00,2025-10-11 15:00:00+00:00,[]
Society of Environmental Engineers,[],<p>Learn about the ins and outs of the water treatment process at this on-site tour! Registration:&nbsp;https://mms.fwea.org/Calendar/moreinfo.php?org_id=FWEA&amp;eventid=185362</p>,Orange County Eastern Regional Water Supply Facility,2025-10-11 13:00:00+00:00,2025-10-11 16:00:00+00:00,[]
Veterans Medical Outreach,[],"<p>&nbsp;</p>
<p data-start=""294"" data-end=""313"">Hello VMO Family,</p>
<p data-start=""315"" data-end=""533"">We&rsquo;re excited to invite you to our <strong data-start=""350"" data-end=""368"">Fall Field Day</strong> this <strong data-start=""374"" data-end=""400"">Saturday, October 11th</strong> at <strong data-start=""404"" data-end=""419"">Lake Claire</strong>! 🌞 Come out from <strong data-start=""438"" data-end=""460"">11:30 AM &ndash; 3:00 PM</strong> for a fun afternoon filled with snacks, fellowship, and plenty of games.</p>
<p data-start=""535"" data-end=""647"">You can look forward to:<br data-start=""559"" data-end=""562"" />🏈 Football<br data-start=""573"" data-end=""576"" />🏐 Volleyball<br data-start=""589"" data-end=""592"" />⚽ Soccer<br data-start=""600"" data-end=""603"" />🌀 Spikeball<br data-start=""615"" data-end=""618"" />🚣 Kayaking<br data-start=""629"" data-end=""632"" />💪 Tug of War</p>
<p data-start=""649"" data-end=""811"">Whether you&rsquo;re competing, cheering, or just hanging out, there&rsquo;s something for everyone. Don&rsquo;t miss this chance to relax, connect, and make some great memories!</p>
<p data-start=""813"" data-end=""914"">📍 <strong data-start=""816"" data-end=""829"">Location:</strong> Lake Claire<br data-start=""841"" data-end=""844"" />🗓 <strong data-start=""847"" data-end=""856"">Date:</strong> Saturday, October 11th<br data-start=""879"" data-end=""882"" />⏰ <strong data-start=""884"" data-end=""893"">Time:</strong> 11:30 AM &ndash; 3:00 PM</p>
<p data-start=""916"" data-end=""949"">We can&rsquo;t wait to see you there!</p>",Lake Claire,2025-10-11 15:30:00+00:00,2025-10-11 19:00:00+00:00,[]
Volunteer UCF,[],"<p>Join VUCF and the Central Florida Zoo in a spooky day of service! Help greet visitors, hand out treats, and operate fun games to celebrate the Halloween season. Come and support the mission of the zoo!</p>
<p>&nbsp;</p>
<p><strong>Date:</strong> Saturday, October 11th</p>
<p><strong>Time:</strong> 8 AM - 4:30 PM</p>
<p><strong>Location:</strong> 3755 W Seminole Blvd, Sanford, FL, 32711</p>
<p><strong>Dress Code:</strong> Family-friendly attire</p>
<p><strong>Transportation:</strong> Carpooling is encouraged! I can drive four volunteers on a <strong>first-come, first-served basis</strong> (all forms must be completed first). All volunteers are responsible for finding their own form of transportation to the event</p>
<p>&nbsp;</p>
<p><strong>Before attending, please: </strong></p>
<p>Complete the Volunteer UCF Covenant Not to Sue and Agreement to Hold Harmless Form:&nbsp;<a href=""https://ucf.campuslabs.com/engage/submitter/form/start/686837"">https://ucf.campuslabs.com/engage/submitter/form/start/686837</a></p>
<p>Join the GroupMe for updates:&nbsp;<a href=""https://groupme.com/join_group/108171153/1HKQKASO"">https://groupme.com/join_group/108171153/1HKQKASO</a></p>
<p>&nbsp;</p>
<p>If you have any questions or concerns, please reach out to <strong>vucf_animals@ucf.edu </strong></p>
<p>&nbsp;</p>
<p>Excited to see you all soon!</p>",Central Florida Zoo,2025-10-11 12:00:00+00:00,2025-10-11 20:30:00+00:00,['Community Service']
Project Spotlight,[],"<p>Join us for our Ten Minute Play Competition where the audience can vote for their favorite!&nbsp;</p>
<p>November 11th and 12th at 7:00pm in Studio 1 of the PAC (theatre side).&nbsp;</p>
<p>Admission is free! Donations are encouraged!&nbsp;</p>",PAC Studio 1,2025-10-11 23:00:00+00:00,2025-10-12 01:00:00+00:00,[]
Asian Student Association,[],"<p>ASA is proud to announce our first ever Cultural Bazaar! Join us for a celebration of culture, community, and creativity through food, music, and performances! Explore multiple cultural booths featuring traditional crafts, clothing, food, games, and more. Enjoy the evening live-performances from music and dance to cultural demonstrations that bring heritage to life. 🎶<br /><br />Mark your calendars, bring your friends, and come with an open heart (and an empty stomach). You won&rsquo;t want to miss this incredible night! 💙💫<br /><br />✧༺᯽༻✧༺᯽༻✧༺᯽༻✧༺᯽༻ ✧༺᯽༻✧<br /><br />Interested in becoming a Performer or an EMCEE for one of our biggest events of the year? 📣 Applications are now open!<br /><br />This is your chance to step up and share your culture. Don&rsquo;t miss out on this opportunity to inspire and be inspired. Sign up using the link in our linktree. 💫<br /><br />🗓️ Deadlines:<br />&bull; Performer &amp; EMCEE Applications &mdash; Due 9/13 at 11:59PM<br />&bull; Fashion Show Application &mdash; Due 10/4 at 11:59PM<br /><br />✧༺᯽༻✧༺᯽༻✧༺᯽༻✧༺᯽༻ ✧༺᯽༻✧<br /><br />Location: UCF Memory Mall<br />Date: Saturday, October 11th<br />Starts: 5:00pm</p>",Memory Mall,2025-10-11 21:30:00+00:00,2025-10-12 02:00:00+00:00,[]
Wesley at UCF,[],"<p>Join us at Faith United Methodist Church every Sunday for worship starting at 10:00 a.m.&nbsp;</p>
<p>&nbsp;</p>
<p>Faith UMC shares our mission to alleviate poverty, and we are so excited to partner with their community. Rev. Erwin Lopez will serve as pastor and preach every Sunday.&nbsp;</p>
<p>&nbsp;</p>
<p>A bus will leave from the Wesley Foundation on UCF Campus at 9:15 a.m. to transport those needed to Faith UMC. Immediately following the service, a free brunch will be provided! Hope to see you there!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",Faith United Methodist Church,2025-10-12 14:00:00+00:00,2025-10-12 15:00:00+00:00,[]
Knighthawk Audubon,[],"<p></p>
<p class=""p1""><span class=""s1"">Join us for a volunteer day where we&rsquo;ll help with some deep cleaning projects at the Audubon Center for Birds of Prey. Since the facility is currently closed for renovations, this is a great chance to visit the birds and get a look behind the scenes.</span></p>
<p class=""p1""><span class=""s1"">During the visit, we will also get to watch some of the resident raptors enjoy the enrichment we create at our October 9th meeting! Then, we&rsquo;ll wrap up the day with a behind-the-scenes tour.</span></p>
<p class=""p1""><span class=""s1"">Be sure to bring a lunch to enjoy at their lakeside gazebo, a perfect spot for birdwatching.</span></p>
<p class=""p1""><span class=""s1"">Please RSVP so we can get an accurate count!</span></p>",Audubon Center for Birds of Prey,2025-10-12 13:00:00+00:00,2025-10-12 16:00:00+00:00,['Community Service']
Intellectual Decisions on Environmental Awareness Solutions For Us,[],"<p>Join us on&nbsp;<strong>Sunday, October 12th @ 9 am,</strong>&nbsp;for a clean-up at <strong>Wekiwa Springs</strong>!</p>
<p>You can just tell the parking attendees that you are with ""IDEAS For Us and are here for the clean-up"" and you won&rsquo;t have to pay for parking!</p>
<p>Help us clean up pesky trash on the trails! After we finish, enjoy free canoes for all participants.</p>
<p>Volunteer hours are available for this event.&nbsp;</p>
<p>Show your love and help us clean up our spring!</p>",Wekiwa Springs State Park,2025-10-12 13:00:00+00:00,2025-10-12 17:00:00+00:00,['Community Service']
Volunteer UCF,[],"<p>Join us to help run a family-friendly Trick-or-Treat Safe Zone event at the History Center and Orlando Public Library. Tasks may include assisting children and families as they participate in trick-or-treating, distributing candy or treats at designated stations, guiding guests through the event areas, and creating a fun and welcoming atmosphere. Volunteers will also help ensure the event remains safe and enjoyable for all participants by providing directions, answering questions, and supporting event organizers as needed.</p>
<p><span data-olk-copy-source=""MessageBody""><em><strong>We ask that volunteers wear UCF branded clothing!</strong></em></span></p>
<p>&nbsp;</p>
<p><strong>All Volunteers MUST:</strong></p>
<ul>
<li>Complete Volunteer UCF Covenant Not to Sue and Agreement to Hold Harmless Form on Knight Connect:&nbsp;<a href=""https://knightconnect.campuslabs.com/engage/submitter/form/start/190114"">https://knightconnect.campuslabs.com/engage/submitter/form/start/190114</a></li>
</ul>
<p><strong>GroupMe:</strong></p>
<ul>
<li>It is highly recommended that volunteers join the group on GroupMe to receive important updates/messages about the event. The link to join the group me will be provided in an email sent to volunteers who RSVP'd.</li>
</ul>
<p><strong>Date:</strong>&nbsp;Sunday, October 12th, 2025</p>
<p><strong>Time:</strong>&nbsp;12:00 p.m.- 2:00 p.m.</p>
<p><strong>Location:</strong></p>
<ul class=""MuiList-root MuiList-padding css-1ontqvh"">
<li class=""MuiListItem-root MuiListItem-gutters MuiListItem-padding css-1yo8bqd"">
<div class=""MuiListItemText-root MuiListItemText-multiline css-1xar93x"">
<div class=""MuiTypography-root MuiTypography-body2 MuiListItemText-secondary css-1g1yogv"">
<div>
<p>City of Orlando Library Parking Garage, 112 East Central Blvd., Orlando, FL 3280</p>
</div>
</div>
</div>
</li>
</ul>
<p><strong>Parking:</strong>&nbsp;<span data-olk-copy-source=""MessageBody"">Let a parking attendant know that you are coming as a VUCF Volunteer</span></p>
<p><strong>Attire:</strong>&nbsp;<span data-olk-copy-source=""MessageBody"">Please wear a UCF shirt/sweater</span></p>",City of Orlando Library,2025-10-12 16:00:00+00:00,2025-10-12 18:00:00+00:00,['Community Service']
